日付,出勤,退勤,純勤務時間(分)(休憩1時間除外),30分区切り出勤,30分区切り勤務時間,繰越勤務時間
1,9:00,20:07,607,9:00,10:00,0:07
2,9:01,19:9,548,9:00,9:00,0:15
3,,,,,,
4,,,,,,
5,9:02,20:22,620,9:00,10:30,0:05
6,9:00,19:13,553,9:00,9:00,0:18
7,9:44,18:54,490,10:00,8:00,0:28
8,9:28,18:32,484,9:30,8:30,0:02
9,9:56,18:32,456,10:00,7:30,0:08
10,,,,,,
11,,,,,,
12,9:20,18:50,510,9:30,8:30,0:08
13,9:9,22:37,748,9:00,12:30,0:06
14,9:42,20:11,569,10:00,9:30,0:05
15,9:11,18:54,523,9:30,8:30,0:18
16,9:06,19:19,553,9:00,9:30,0:01
17,,,,,,
18,,,,,,
19,9:00,21:35,695,9:00,11:30,0:06
20,9:20,18:10,470,9:30,7:30,0:26
21,9:01,20:00,599,9:00,10:00,0:25
22,9:00,19:28,568,9:00,9:30,0:23
23,9:14,18:38,504,9:30,8:30,0:17
24,,,,,,
25,,,,,,
26,9:02,21:46,704,9:00,12:00,0:01
27,9:08,19:21,553,9:00,9:00,0:14
28,9:04,19:38,574,9:00,9:30,0:18
29,9:01,19:00,539,9:00,9:00,0:17
30,12:22,18:30,308,12:30,5:00,0:25
31,,,,,,